Name,X,Y,Z,ScaleX,ScaleY,ScaleZ,Rotation,CUT,FILL,AREACUT,AREAFILL,SUM
GRIDCELL,27.5,72.5,0.0,5.0,5.0,5.0,0.0,-82.3,0.0,25.0,0.0,-82.3
GRIDCELL,27.5,77.5,0.0,5.0,5.0,5.0,0.0,-99.2,0.0,25.0,0.0,-99.2
GRIDCELL,27.5,82.5,0.0,5.0,5.0,5.0,0.0,-84.7,0.0,25.0,0.0,-84.7
GRIDCELL,27.5,87.5,0.0,5.0,5.0,5.0,0.0,-39.1,0.0,25.0,0.0,-39.1
GRIDCELL,27.5,92.5,0.0,5.0,5.0,5.0,0.0,-2.9,0.0,20.9621,4.0379,-2.9
GRIDCELL,27.5,97.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,12.6862,12.3138,0.0
GRIDCELL,32.5,2.5000000000000004,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,32.5,7.5,0.0,5.0,5.0,5.0,0.0,0.0,0.5,21.3692,3.6308,0.5
GRIDCELL,32.5,12.5,0.0,5.0,5.0,5.0,0.0,0.0,29.3,0.0,25.0,29.3
GRIDCELL,32.5,17.5,0.0,5.0,5.0,5.0,0.0,0.0,74.8,0.0,25.0,74.8
GRIDCELL,32.5,22.5,0.0,5.0,5.0,5.0,0.0,0.0,89.2,0.0,25.0,89.2
GRIDCELL,32.5,27.5,0.0,5.0,5.0,5.0,0.0,0.0,72.4,0.0,25.0,72.4
GRIDCELL,32.5,32.5,0.0,5.0,5.0,5.0,0.0,0.0,55.6,0.0,25.0,55.6
GRIDCELL,32.5,37.5,0.0,5.0,5.0,5.0,0.0,0.0,38.8,0.0,25.0,38.8
GRIDCELL,32.5,42.5,0.0,5.0,5.0,5.0,0.0,0.0,21.9,0.0,25.0,21.9
GRIDCELL,32.5,47.5,0.0,5.0,5.0,5.0,0.0,-0.4,5.5,4.9253,20.0747,5.1
GRIDCELL,32.5,52.5,0.0,5.0,5.0,5.0,0.0,-11.7,0.0,25.0,0.0,-11.7
GRIDCELL,32.5,57.5,0.0,5.0,5.0,5.0,0.0,-28.6,0.0,25.0,0.0,-28.6
GRIDCELL,32.5,62.5,0.0,5.0,5.0,5.0,0.0,-45.4,0.0,25.0,0.0,-45.4
GRIDCELL,32.5,67.5,0.0,5.0,5.0,5.0,0.0,-62.2,0.0,25.0,0.0,-62.2
GRIDCELL,32.5,72.5,0.0,5.0,5.0,5.0,0.0,-79.0,0.0,25.0,0.0,-79.0
GRIDCELL,32.5,77.5,0.0,5.0,5.0,5.0,0.0,-95.9,0.0,25.0,0.0,-95.9
GRIDCELL,32.5,82.5,0.0,5.0,5.0,5.0,0.0,-81.4,0.0,25.0,0.0,-81.4
GRIDCELL,32.5,87.5,0.0,5.0,5.0,5.0,0.0,-35.8,0.0,25.0,0.0,-35.8
GRIDCELL,32.5,92.5,0.0,5.0,5.0,5.0,0.0,-1.8,0.0,13.8794,11.1206,-1.8
GRIDCELL,32.5,97.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,5.8027,19.1973,0.0
GRIDCELL,37.5,2.5000000000000004,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,37.5,7.5,0.0,5.0,5.0,5.0,0.0,0.0,1.1,19.5885,5.4115,1.1
GRIDCELL,37.5,12.5,0.0,5.0,5.0,5.0,0.0,0.0,32.6,0.0,25.0,32.6
GRIDCELL,37.5,17.5,0.0,5.0,5.0,5.0,0.0,0.0,78.1,0.0,25.0,78.1
GRIDCELL,37.5,22.5,0.0,5.0,5.0,5.0,0.0,0.0,92.5,0.0,25.0,92.5
GRIDCELL,37.5,27.5,0.0,5.0,5.0,5.0,0.0,0.0,75.7,0.0,25.0,75.7
GRIDCELL,37.5,32.5,0.0,5.0,5.0,5.0,0.0,0.0,58.9,0.0,25.0,58.9
GRIDCELL,37.5,37.5,0.0,5.0,5.0,5.0,0.0,0.0,42.0,0.0,25.0,42.0
GRIDCELL,37.5,42.5,0.0,5.0,5.0,5.0,0.0,0.0,25.2,0.0,25.0,25.2
GRIDCELL,37.5,47.5,0.0,5.0,5.0,5.0,0.0,0.0,8.4,0.6279,24.3721,8.4
GRIDCELL,37.5,52.5,0.0,5.0,5.0,5.0,0.0,-8.4,0.0,24.4044,0.5956,-8.4
GRIDCELL,37.5,57.5,0.0,5.0,5.0,5.0,0.0,-25.3,0.0,25.0,0.0,-25.3
GRIDCELL,37.5,62.5,0.0,5.0,5.0,5.0,0.0,-42.1,0.0,25.0,0.0,-42.1
GRIDCELL,37.5,67.5,0.0,5.0,5.0,5.0,0.0,-58.9,0.0,25.0,0.0,-58.9
GRIDCELL,37.5,72.5,0.0,5.0,5.0,5.0,0.0,-75.7,0.0,25.0,0.0,-75.7
GRIDCELL,37.5,77.5,0.0,5.0,5.0,5.0,0.0,-92.6,0.0,25.0,0.0,-92.6
GRIDCELL,37.5,82.5,0.0,5.0,5.0,5.0,0.0,-78.1,0.0,25.0,0.0,-78.1
GRIDCELL,37.5,87.5,0.0,5.0,5.0,5.0,0.0,-32.5,0.0,25.0,0.0,-32.5
GRIDCELL,37.5,92.5,0.0,5.0,5.0,5.0,0.0,-1.0,0.0,15.0407,9.9593,-1.0
GRIDCELL,37.5,97.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,42.5,2.5000000000000004,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,42.5,7.5,0.0,5.0,5.0,5.0,0.0,0.0,1.9,17.8078,7.1922,1.9
GRIDCELL,42.5,12.5,0.0,5.0,5.0,5.0,0.0,0.0,35.8,0.0,25.0,35.8
GRIDCELL,42.5,17.5,0.0,5.0,5.0,5.0,0.0,0.0,81.4,0.0,25.0,81.4
GRIDCELL,42.5,22.5,0.0,5.0,5.0,5.0,0.0,0.0,95.8,0.0,25.0,95.8
GRIDCELL,42.5,27.5,0.0,5.0,5.0,5.0,0.0,0.0,79.0,0.0,25.0,79.0
GRIDCELL,42.5,32.5,0.0,5.0,5.0,5.0,0.0,0.0,62.2,0.0,25.0,62.2
GRIDCELL,42.5,37.5,0.0,5.0,5.0,5.0,0.0,0.0,45.3,0.0,25.0,45.3
GRIDCELL,42.5,42.5,0.0,5.0,5.0,5.0,0.0,0.0,28.5,0.0,25.0,28.5
GRIDCELL,42.5,47.5,0.0,5.0,5.0,5.0,0.0,0.0,11.7,0.0,25.0,11.7
GRIDCELL,42.5,52.5,0.0,5.0,5.0,5.0,0.0,-5.5,0.3,20.1394,4.8606,-5.2
GRIDCELL,42.5,57.5,0.0,5.0,5.0,5.0,0.0,-22.0,0.0,25.0,0.0,-22.0
GRIDCELL,42.5,62.5,0.0,5.0,5.0,5.0,0.0,-38.8,0.0,25.0,0.0,-38.8
GRIDCELL,42.5,67.5,0.0,5.0,5.0,5.0,0.0,-55.6,0.0,25.0,0.0,-55.6
GRIDCELL,42.5,72.5,0.0,5.0,5.0,5.0,0.0,-72.5,0.0,25.0,0.0,-72.5
GRIDCELL,42.5,77.5,0.0,5.0,5.0,5.0,0.0,-89.3,0.0,25.0,0.0,-89.3
GRIDCELL,42.5,82.5,0.0,5.0,5.0,5.0,0.0,-74.9,0.0,25.0,0.0,-74.9
GRIDCELL,42.5,87.5,0.0,5.0,5.0,5.0,0.0,-29.2,0.0,25.0,0.0,-29.2
GRIDCELL,42.5,92.5,0.0,5.0,5.0,5.0,0.0,-0.5,0.0,21.8325,3.1675,-0.5
GRIDCELL,42.5,97.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,47.5,2.5000000000000004,0.0,5.0,5.0,5.0,0.0,0.0,0.0,15.8145,9.1855,0.0
GRIDCELL,47.5,7.5,0.0,5.0,5.0,5.0,0.0,0.0,2.9,15.6693,9.3307,2.9
GRIDCELL,47.5,12.5,0.0,5.0,5.0,5.0,0.0,0.0,39.1,0.0,25.0,39.1
GRIDCELL,47.5,17.5,0.0,5.0,5.0,5.0,0.0,0.0,84.7,0.0,25.0,84.7
GRIDCELL,47.5,22.5,0.0,5.0,5.0,5.0,0.0,0.0,99.1,0.0,25.0,99.1
GRIDCELL,47.5,27.5,0.0,5.0,5.0,5.0,0.0,0.0,82.3,0.0,25.0,82.3
GRIDCELL,47.5,32.5,0.0,5.0,5.0,5.0,0.0,0.0,65.5,0.0,25.0,65.5
GRIDCELL,47.5,37.5,0.0,5.0,5.0,5.0,0.0,0.0,48.6,0.0,25.0,48.6
GRIDCELL,47.5,42.5,0.0,5.0,5.0,5.0,0.0,0.0,31.8,0.0,25.0,31.8
GRIDCELL,47.5,47.5,0.0,5.0,5.0,5.0,0.0,0.0,15.0,0.0,25.0,15.0
GRIDCELL,47.5,52.5,0.0,5.0,5.0,5.0,0.0,-3.2,1.3,15.2464,9.7536,-1.9000000000000001
GRIDCELL,47.5,57.5,0.0,5.0,5.0,5.0,0.0,-18.7,0.0,25.0,0.0,-18.7
GRIDCELL,47.5,62.5,0.0,5.0,5.0,5.0,0.0,-35.5,0.0,25.0,0.0,-35.5
GRIDCELL,47.5,67.5,0.0,5.0,5.0,5.0,0.0,-52.3,0.0,25.0,0.0,-52.3
GRIDCELL,47.5,72.5,0.0,5.0,5.0,5.0,0.0,-69.2,0.0,25.0,0.0,-69.2
GRIDCELL,47.5,77.5,0.0,5.0,5.0,5.0,0.0,-86.0,0.0,25.0,0.0,-86.0
GRIDCELL,47.5,82.5,0.0,5.0,5.0,5.0,0.0,-71.6,0.0,25.0,0.0,-71.6
GRIDCELL,47.5,87.5,0.0,5.0,5.0,5.0,0.0,-25.9,0.0,25.0,0.0,-25.9
GRIDCELL,47.5,92.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.0,21.114,3.886,-0.1
GRIDCELL,47.5,97.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,52.5,2.5000000000000004,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,52.5,7.5,0.0,5.0,5.0,5.0,0.0,0.0,4.2,14.2464,10.7536,4.2
GRIDCELL,52.5,12.5,0.0,5.0,5.0,5.0,0.0,0.0,42.3,0.0,25.0,42.3
GRIDCELL,52.5,17.5,0.0,5.0,5.0,5.0,0.0,0.0,88.0,0.0,25.0,88.0
GRIDCELL,52.5,22.5,0.0,5.0,5.0,5.0,0.0,0.0,102.4,0.0,25.0,102.4
GRIDCELL,52.5,27.5,0.0,5.0,5.0,5.0,0.0,0.0,85.6,0.0,25.0,85.6
GRIDCELL,52.5,32.5,0.0,5.0,5.0,5.0,0.0,0.0,68.8,0.0,25.0,68.8
GRIDCELL,52.5,37.5,0.0,5.0,5.0,5.0,0.0,0.0,51.9,0.0,25.0,51.9
GRIDCELL,52.5,42.5,0.0,5.0,5.0,5.0,0.0,0.0,35.1,0.0,25.0,35.1
GRIDCELL,52.5,47.5,0.0,5.0,5.0,5.0,0.0,0.0,18.3,0.0,25.0,18.3
GRIDCELL,52.5,52.5,0.0,5.0,5.0,5.0,0.0,-1.5,2.9,10.3535,14.6465,1.4
